filename,reference_filename,sentence_id,speaker_id,gender,device,distance_m,noise_level_db,pesq,snr_global_db,snr_segmental_db,snr_aweighted_db,stoi,correlation,alignment_shift_ms,alignment_correlation,success,error,processing_time_sec
pa_S23_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S23_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S23,F2,female,IP15,2,57.0,1.3543987274169922,-3.144145964984744,-3.9971474782760232,-3.1436537844426207,0.7221640289659669,-0.03158863919201864,109.75,0.36244464,True,,0.6710484027862549
pa_S23_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S23_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S23,F2,female,IPDp11,4,57.0,1.314671516418457,-2.2671267973383626,-3.4553164505485845,-2.265377009945709,0.6906229499314371,0.13963353593088082,152.4375,0.28380284,True,,0.7975914478302002
pa_S24_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S24_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S24,F2,female,IP15,2,57.0,1.3573389053344727,-3.0508106484327295,-3.8274711242119186,-3.0500220125435034,0.7047539864636033,-0.019932561023979604,132.5,0.37379307,True,,0.8206939697265625
pa_S24_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S24_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S24,F2,female,IPDp11,4,57.0,1.3526051044464111,-2.255113690892575,-3.7501397590475296,-2.2534278652856643,0.7004232929617112,0.12818242757844048,77.875,0.29577482,True,,0.922943115234375
pa_S25_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S25_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S25,F2,female,IP15,2,57.0,1.2780277729034424,-3.061850574305258,-3.6712696419755932,-3.0609300669794566,0.6989522123883641,0.01985199296687894,1.25,0.38983575,True,,0.9459540843963623
pa_S25_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S25_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S25,F2,female,IPDp11,4,57.0,1.3476134538650513,-2.3653436669292196,-3.528396852679259,-2.363469794225023,0.6970324950353722,0.17374219277682665,89.25,0.30262175,True,,0.894282341003418
pa_S26_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S26_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S26,F2,female,IP15,2,57.0,1.2760499715805054,-2.902782710103917,-3.1761727034409803,-2.9020838703180365,0.654389422165824,-0.029762866288429526,5.9375,0.43674606,True,,0.2500133514404297
pa_S26_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S26_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S26,F2,female,IPDp11,4,57.0,1.424009919166565,-2.106259308597333,-3.166125385548844,-2.1050795822614474,0.6637396654349907,0.1991219880657198,156.5,0.38555038,True,,0.25039124488830566
pa_S27_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S27_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S27,F2,female,IP15,2,57.0,1.3473714590072632,-2.538500919220275,-3.4270281087168493,-2.53769284257504,0.6818956950930993,0.08345438850811956,160.6875,0.40289602,True,,0.8626344203948975
pa_S27_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S27_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S27,F2,female,IPDp11,4,57.0,1.353292465209961,-2.3096336002769626,-3.8341713036786405,-2.308057517619532,0.6759737991486611,0.128335128277265,222.5,0.28786743,True,,0.832859992980957
